class id,filepaths,labels,data set
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0003_29094.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0004_795623.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0005_29157.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0006_795595.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0007_795600.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0008_795599.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0009_29155.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0010_29199.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0012_795612.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0013_29232.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0016_29217.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0017_795598.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0020_29069.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0022_29145.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0024_29173.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0028_795611.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0030_795591.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0032_795622.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0033_29195.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0034_795583.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0036_795577.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0038_795616.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0040_795629.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0042_29127.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0043_29115.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0044_795624.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0046_795596.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0047_795593.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0049_795580.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0050_795608.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0051_29077.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0052_795610.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0053_795620.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0054_29113.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0056_29086.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0058_795602.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0060_795604.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0064_795584.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0065_29070.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0066_29190.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0067_29197.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0068_795590.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0069_795579.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0070_29150.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0071_795627.jpg,Acadian Flycatcher,Train
0,../BirdsDataset2/Train/Acadian_Flycatcher/Acadian_Flycatcher_0072_795603.jpg,Acadian Flycatcher,Train
